"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 25","41.78","43.40","43.65","41.55","398.38M","-4.31%"
"2023- 10- 24","43.66","43.08","43.70","42.69","401.46M","1.58%"
"2023- 10- 23","42.98","41.23","43.25","40.95","478.53M","3.84%"
"2023- 10- 20","41.39","41.89","42.47","41.08","477.27M","-1.69%"
"2023- 10- 19","42.10","42.81","43.30","41.88","501.23M","-0.24%"
"2023- 10- 18","42.20","42.59","43.22","41.83","627.29M","-3.96%"
"2023- 10- 17","43.94","44.00","44.75","42.48","812.33M","-4.66%"
"2023- 10- 16","46.09","45.06","46.23","44.91","375.10M","1.39%"
"2023- 10- 13","45.46","46.96","47.12","45.28","475.43M","-3.17%"
"2023- 10- 12","46.95","46.78","47.61","46.33","481.32M","0.30%"
"2023- 10- 11","46.81","46.20","46.86","46.05","378.14M","2.21%"
"2023- 10- 10","45.80","45.31","46.26","45.09","368.58M","1.17%"
"2023- 10- 09","45.27","44.84","45.60","44.37","409.67M","-1.07%"
"2023- 10- 06","45.76","44.19","45.79","44.03","434.44M","2.39%"
"2023- 10- 05","44.69","44.05","44.90","43.89","393.48M","1.48%"
"2023- 10- 04","44.04","43.74","44.14","43.29","361.82M","1.19%"
"2023- 10- 03","43.52","44.81","45.13","43.25","470.85M","-2.81%"
"2023- 10- 02","44.78","44.03","45.17","43.86","433.30M","2.94%"
"2023- 09- 29","43.50","43.83","44.14","43.31","397.83M","0.95%"
"2023- 09- 28","43.09","42.46","43.45","42.12","424.66M","1.46%"
"2023- 09- 27","42.47","42.33","42.87","41.63","444.94M","1.34%"
"2023- 09- 26","41.91","42.00","42.82","41.66","402.28M","-0.73%"
"2023- 09- 25","42.22","41.59","42.54","41.18","419.09M","1.47%"
"2023- 09- 22","41.61","41.57","42.12","41.23","479.24M","1.44%"
"2023- 09- 21","41.02","41.58","42.10","40.98","450.74M","-2.89%"
"2023- 09- 20","42.24","43.60","43.90","42.22","367.11M","-2.94%"
"2023- 09- 19","43.52","43.83","43.97","43.00","373.06M","-1.02%"
"2023- 09- 18","43.97","42.75","44.24","42.00","500.27M","0.16%"
"2023- 09- 15","43.90","45.34","45.60","43.81","506.83M","-3.69%"
"2023- 09- 14","45.58","45.95","45.99","45.13","370.10M","0.22%"
"2023- 09- 13","45.48","44.60","45.93","44.50","398.36M","1.36%"
"2023- 09- 12","44.87","44.74","45.67","44.53","349.26M","-0.69%"
"2023- 09- 11","45.18","46.15","46.16","44.31","473.97M","-0.86%"
"2023- 09- 08","45.57","45.94","46.61","45.27","473.90M","-1.45%"
"2023- 09- 07","46.24","45.52","46.34","45.15","433.33M","-1.74%"
"2023- 09- 06","47.06","48.44","48.55","46.58","468.67M","-3.07%"
"2023- 09- 05","48.55","48.22","48.85","47.86","382.65M","0.08%"
"2023- 09- 01","48.51","49.76","49.80","48.14","463.83M","-1.70%"
"2023- 08- 31","49.35","49.38","49.74","48.96","528.57M","0.18%"
"2023- 08- 30","49.26","49.04","49.93","48.42","735.21M","0.98%"
"2023- 08- 29","48.78","46.67","49.08","46.39","701.40M","4.14%"
"2023- 08- 28","46.84","46.48","46.98","44.89","685.19M","1.78%"
"2023- 08- 25","46.02","47.01","47.80","45.02","925.34M","-2.42%"
"2023- 08- 24","47.16","50.22","50.27","47.16","1.16B","0.08%"
"2023- 08- 23","47.12","45.87","47.20","45.21","779.05M","3.17%"
"2023- 08- 22","45.67","48.13","48.19","45.33","757.21M","-2.77%"
"2023- 08- 21","46.97","44.49","47.06","44.22","692.57M","8.48%"
"2023- 08- 18","43.30","42.63","43.58","41.66","583.77M","-0.09%"
"2023- 08- 17","43.34","43.97","44.06","43.00","452.39M","-0.34%"
"2023- 08- 16","43.49","44.52","44.67","43.41","527.45M","-1.02%"
"2023- 08- 15","43.94","44.56","45.27","43.71","676.51M","0.43%"
"2023- 08- 14","43.75","40.49","43.80","40.31","690.29M","7.10%"
"2023- 08- 11","40.85","41.75","42.02","40.64","533.09M","-3.63%"
"2023- 08- 10","42.39","42.16","43.57","41.84","492.71M","-0.38%"
"2023- 08- 09","42.55","44.27","44.31","42.13","586.45M","-4.72%"
"2023- 08- 08","44.66","44.85","45.24","44.06","353.84M","-1.67%"
"2023- 08- 07","45.42","45.11","45.54","44.56","322.15M","1.66%"
"2023- 08- 04","44.68","44.98","45.64","44.39","362.67M","0.36%"
"2023- 08- 03","44.52","43.80","45.12","43.80","325.08M","0.56%"
"2023- 08- 02","44.27","45.83","45.84","43.39","530.14M","-4.82%"
"2023- 08- 01","46.51","46.46","46.90","46.03","239.28M","-0.47%"
"2023- 07- 31","46.73","46.75","47.13","46.51","251.06M","-0.04%"
"2023- 07- 28","46.75","46.67","47.03","46.38","331.19M","1.85%"
"2023- 07- 27","45.90","46.52","47.40","45.75","455.98M","0.99%"
"2023- 07- 26","45.45","46.02","46.05","44.63","364.24M","-0.50%"
"2023- 07- 25","45.68","44.94","46.18","44.92","348.08M","2.40%"
"2023- 07- 24","44.61","44.73","45.11","44.04","383.10M","0.68%"
"2023- 07- 21","44.31","45.79","45.87","44.10","963.77M","-2.66%"
"2023- 07- 20","45.52","46.51","47.09","45.06","537.86M","-3.31%"
"2023- 07- 19","47.08","47.46","47.82","46.74","427.50M","-0.86%"
"2023- 07- 18","47.49","46.70","47.90","45.73","570.19M","2.22%"
"2023- 07- 17","46.46","46.29","46.50","45.26","510.49M","2.18%"
"2023- 07- 14","45.47","46.58","48.09","45.06","772.08M","-1.11%"
"2023- 07- 13","45.98","44.52","46.16","44.49","478.20M","4.74%"
"2023- 07- 12","43.90","43.03","43.94","42.78","481.28M","3.51%"
"2023- 07- 11","42.41","42.48","42.76","42.07","298.24M","0.55%"
"2023- 07- 10","42.18","42.66","42.81","41.65","353.91M","-0.75%"
"2023- 07- 07","42.50","42.32","43.21","42.18","355.88M","0.95%"
"2023- 07- 06","42.10","41.84","42.18","41.35","304.14M","-0.52%"
"2023- 07- 05","42.32","42.13","43.18","42.09","323.62M","-0.21%"
"2023- 07- 03","42.41","42.52","42.90","42.20","198.21M","0.26%"
"2023- 06- 30","42.30","41.68","42.55","41.50","501.15M","3.63%"
"2023- 06- 29","40.82","41.56","41.60","40.60","380.51M","-0.73%"
"2023- 06- 28","41.12","40.66","41.84","40.52","582.64M","-1.81%"
"2023- 06- 27","41.88","40.80","41.94","40.45","462.17M","3.08%"
"2023- 06- 26","40.63","42.46","42.76","40.10","594.32M","-3.74%"
"2023- 06- 23","42.21","42.46","42.81","42.02","358.14M","-1.88%"
"2023- 06- 22","43.02","42.25","43.43","42.23","417.74M","-0.07%"
